1	B	C	06:20	07:15
2	B	C	06:50	07:45
3	B	C	07:10	08:10
4	C	B	07:20	08:20
5	B	C	07:32	08:32
6	C	B	07:50	08:50
7	B	C	07:52	08:52
8	B	C	08:10	09:10
9	C	B	08:10	09:10
10	C	B	08:32	09:32
11	B	C	08:35	09:30
12	C	B	08:52	09:47
13	B	C	09:05	10:00
14	C	B	09:10	10:05
15	B	C	09:35	10:30
16	C	B	09:35	10:30
17	C	B	10:05	11:00
18	B	C	10:10	11:05
19	C	B	10:35	11:30
20	B	C	11:10	12:05
21	C	B	11:10	12:05
22	B	C	11:35	12:30
23	B	C	12:05	13:00
24	C	B	12:10	13:05
25	C	B	12:35	13:30
26	B	C	13:05	14:00
27	C	B	13:05	14:00
28	B	C	14:05	15:00
29	C	B	14:05	15:00
30	B	C	15:05	16:00
31	C	B	15:05	16:00
32	B	C	15:35	16:30
33	C	B	16:05	17:00
34	B	C	16:15	17:10
35	C	B	16:35	17:30
36	B	C	16:45	17:40
37	C	B	17:15	18:10
38	B	C	17:20	18:15
39	B	C	17:40	18:35
40	C	B	17:45	18:40
41	B	C	18:05	19:00
42	C	B	18:20	19:15
43	C	B	18:45	19:40
44	B	C	19:05	20:00
45	C	B	19:10	20:05
46	C	B	20:05	21:00
47	B	C	20:20	21:15
48	B	C	21:20	22:15
49	C	B	21:20	22:15
50	B	C	22:20	23:15
51	C	B	22:20	23:15
52	C	B	23:15	00:10
