1	B	C	04:55	06:00
2	B	C	05:30	06:35
3	B	C	05:58	07:03
4	C	B	06:02	07:07
5	B	C	06:30	07:38
6	C	B	06:30	07:38
7	B	C	06:59	08:07
8	C	B	07:00	08:10
9	B	C	07:15	08:25
10	C	B	07:15	08:25
11	B	C	07:33	08:43
12	C	B	07:39	08:49
13	B	C	07:45	08:55
14	C	B	07:52	09:02
15	C	B	08:07	09:17
16	B	C	08:10	09:20
17	C	B	08:20	09:30
18	C	B	08:22	09:32
19	B	C	08:41	09:46
20	C	B	08:43	09:48
21	C	B	08:55	10:00
22	B	C	09:12	10:17
23	C	B	09:20	10:25
24	B	C	09:40	10:45
25	C	B	09:46	10:51
26	B	C	10:13	11:18
27	C	B	10:17	11:22
28	B	C	10:30	11:35
29	B	C	10:43	11:48
30	C	B	10:45	11:50
31	C	B	11:05	12:10
32	B	C	11:15	12:20
33	C	B	11:23	12:28
34	B	C	11:45	12:50
35	C	B	11:48	12:53
36	B	C	12:06	13:11
37	C	B	12:20	13:25
38	B	C	12:25	13:30
39	B	C	12:45	13:50
40	C	B	12:50	13:55
41	C	B	13:11	14:16
42	B	C	13:13	14:18
43	C	B	13:30	14:35
44	B	C	13:45	14:50
45	C	B	13:50	14:55
46	B	C	14:08	15:13
47	C	B	14:23	15:28
48	B	C	14:40	15:45
49	C	B	14:50	15:55
50	B	C	15:04	16:09
51	C	B	15:13	16:18
52	B	C	15:26	16:31
53	B	C	15:30	16:35
54	C	B	15:47	16:52
55	B	C	15:52	16:57
56	B	C	16:05	17:10
57	C	B	16:12	17:17
58	B	C	16:16	17:21
59	B	C	16:18	17:23
60	B	C	16:31	17:36
61	C	B	16:33	17:38
62	C	B	16:48	17:53
63	B	C	17:06	18:11
64	C	B	17:12	18:17
65	B	C	17:20	18:25
66	B	C	17:35	18:40
67	C	B	17:45	18:50
68	B	C	17:50	18:55
69	B	C	18:05	19:10
70	C	B	18:16	19:21
71	B	C	18:35	19:40
72	C	B	18:45	19:50
73	B	C	19:02	20:07
74	C	B	19:10	20:15
75	B	C	19:30	20:35
76	C	B	19:40	20:45
77	C	B	20:07	21:07
78	B	C	20:11	21:11
79	C	B	20:34	21:34
80	B	C	20:52	21:52
81	C	B	21:11	22:11
82	B	C	21:41	22:41
83	C	B	21:52	22:52
84	B	C	22:19	23:19
85	C	B	22:41	23:41
86	B	C	22:57	23:57
87	C	B	23:19	00:19
88	B	C	23:40	00:40
89	C	B	23:57	00:57
