1	B	C	04:50	05:25
2	B	C	05:15	05:50
3	C	B	05:25	06:00
4	B	C	05:35	06:10
5	C	B	05:50	06:25
6	B	C	06:00	06:35
7	C	B	06:10	06:45
8	B	C	06:11	06:46
9	B	C	06:24	06:59
10	C	B	06:35	07:10
11	B	C	06:36	07:14
12	C	B	06:46	07:24
13	B	C	06:48	07:26
14	B	C	06:58	07:36
15	C	B	07:01	07:39
16	B	C	07:08	07:46
17	C	B	07:13	07:51
18	B	C	07:17	07:55
19	B	C	07:25	08:03
20	C	B	07:27	08:05
21	B	C	07:33	08:11
22	C	B	07:38	08:16
23	B	C	07:42	08:20
24	C	B	07:48	08:26
25	B	C	07:50	08:28
26	C	B	07:57	08:35
27	B	C	07:58	08:36
28	C	B	08:04	08:42
29	B	C	08:07	08:45
30	C	B	08:11	08:49
31	B	C	08:15	08:53
32	C	B	08:20	08:58
33	B	C	08:24	09:02
34	C	B	08:28	09:06
35	B	C	08:33	09:11
36	C	B	08:36	09:14
37	B	C	08:44	09:22
38	C	B	08:45	09:23
39	C	B	08:53	09:31
40	B	C	08:56	09:34
41	C	B	09:02	09:40
42	B	C	09:08	09:46
43	C	B	09:11	09:49
44	B	C	09:22	10:00
45	C	B	09:22	10:00
46	C	B	09:34	10:12
47	B	C	09:36	10:14
48	C	B	09:46	10:24
49	B	C	09:50	10:28
50	C	B	10:00	10:38
51	B	C	10:04	10:42
52	C	B	10:14	10:52
53	B	C	10:18	10:56
54	C	B	10:28	11:06
55	B	C	10:32	11:10
56	C	B	10:42	11:20
57	B	C	10:45	11:23
58	C	B	10:56	11:34
59	B	C	10:59	11:37
60	C	B	11:10	11:48
61	B	C	11:12	11:50
62	C	B	11:23	12:01
63	B	C	11:26	12:04
64	C	B	11:37	12:15
65	B	C	11:39	12:17
66	C	B	11:50	12:28
67	B	C	11:51	12:29
68	B	C	12:03	12:41
69	C	B	12:04	12:42
70	B	C	12:15	12:53
71	C	B	12:17	12:55
72	B	C	12:27	13:05
73	C	B	12:29	13:07
74	B	C	12:37	13:15
75	C	B	12:41	13:19
76	B	C	12:47	13:25
77	C	B	12:53	13:31
78	B	C	13:00	13:38
79	C	B	13:05	13:43
80	B	C	13:11	13:49
81	C	B	13:15	13:53
82	B	C	13:22	14:00
83	C	B	13:25	14:03
84	B	C	13:36	14:14
85	C	B	13:38	14:16
86	C	B	13:49	14:27
87	B	C	13:50	14:28
88	C	B	14:00	14:38
89	B	C	14:01	14:39
90	B	C	14:14	14:52
91	C	B	14:14	14:52
92	B	C	14:27	15:05
93	C	B	14:29	15:07
94	B	C	14:38	15:16
95	C	B	14:40	15:18
96	B	C	14:51	15:29
97	C	B	14:53	15:31
98	B	C	15:03	15:41
99	C	B	15:06	15:44
100	B	C	15:16	15:54
101	C	B	15:17	15:55
102	B	C	15:28	16:06
103	C	B	15:30	16:08
104	B	C	15:38	16:16
105	C	B	15:42	16:20
106	B	C	15:51	16:29
107	C	B	15:55	16:33
108	B	C	16:06	16:44
109	C	B	16:07	16:45
110	C	B	16:18	16:56
111	B	C	16:19	16:57
112	C	B	16:30	17:08
113	B	C	16:34	17:12
114	B	C	16:43	17:21
115	C	B	16:44	17:22
116	B	C	16:54	17:32
117	C	B	16:58	17:36
118	B	C	17:03	17:41
119	B	C	17:13	17:51
120	C	B	17:13	17:51
121	B	C	17:20	17:58
122	C	B	17:22	18:00
123	B	C	17:28	18:06
124	C	B	17:33	18:11
125	B	C	17:35	18:13
126	C	B	17:42	18:20
127	B	C	17:45	18:23
128	C	B	17:51	18:29
129	B	C	17:52	18:30
130	C	B	17:58	18:36
131	B	C	18:00	18:38
132	C	B	18:06	18:44
133	B	C	18:08	18:46
134	C	B	18:13	18:51
135	B	C	18:17	18:55
136	C	B	18:23	19:01
137	B	C	18:30	19:08
138	C	B	18:30	19:08
139	C	B	18:38	19:16
140	B	C	18:44	19:22
141	C	B	18:46	19:24
142	B	C	18:55	19:33
143	C	B	18:55	19:33
144	B	C	19:06	19:44
145	C	B	19:08	19:46
146	B	C	19:18	19:56
147	C	B	19:20	19:58
148	C	B	19:32	20:07
149	B	C	19:35	20:10
150	C	B	19:44	20:19
151	B	C	19:52	20:27
152	C	B	19:56	20:31
153	C	B	20:11	20:46
154	B	C	20:17	20:52
155	C	B	20:27	21:02
156	B	C	20:42	21:17
157	C	B	20:52	21:27
158	B	C	21:15	21:50
159	C	B	21:17	21:52
160	B	C	21:40	22:15
161	C	B	21:47	22:22
162	B	C	22:01	22:36
163	C	B	22:15	22:50
164	B	C	22:33	23:08
165	C	B	22:36	23:11
166	B	C	23:00	23:35
167	C	B	23:08	23:43
168	C	B	23:35	00:10
169	B	C	23:36	00:11
170	B	C	23:57	00:32
